001 SOUND_OPEN_POPUP_1
17E SOUND_STARSHIP_TAKEOFF_SHORT
17F SOUND_STARSHIP_ARRIVE
180 SOUND_STARSHIP_NEAR_FLYBY
181 SOUND_STARSHIP_ASCEND
182 SOUND_STARSHIP_FLY_AWAY
183 SOUND_STARSHIP_FLY_TOWARD
184 SOUND_SPRINKLE_MAGIC
185 SOUND_LRAW_ZIPLINE_RETURN
186 SOUND_JAN_BASKET_ELEVATOR
187 SOUND_FLO_STAIRS_LOWERING
188 SOUND_GET_STAR_POWER_WAVE
189 SOUND_LRAW_JAN_CONSTRUCTION
18A SOUND_JAN_RAPHAEL_POUND
18C SOUND_JAN_ROOT_WOBBLE_1
18D SOUND_JAN_ROOT_WOBBLE_2
18E SOUND_JAN_ROOT_WOBBLE_3
190 SOUND_FLO_PUFF_PUFF_SMOKE_BURST
191 SOUND_JAN_BOULDER_TREMBLE
193 SOUND_FLO_BLOW_BUBBLE
194 SOUND_LRAW_BUBBLE_DRIFT
197 SOUND_LRAW_FLO_FILL_WATER_POOL
198 SOUND_LRAW_FLO_WATER_FLOW_1
199 SOUND_LRAW_FLO_WATER_FLOW_2
19A SOUND_LRAW_FLO_RELEASE_FOUNTAIN
19B SOUND_FLO_BEANSTALK_START_GROWING
19C SOUND_FLO_RIDE_BEANSTALK_UP_LOOP
19D SOUND_FLO_RIDE_BEANSTALK_DOWN_LOOP
19E SOUND_FLO_MAGIKOOPA_FLY_AWAY
19F SOUND_FLO_LAKITU_FLY_AWAY
1A0 SOUND_FLO_PUFF_PUFF_EXPLODE
1A1 SOUND_OMO_BOX_GLOW_1
1A2 SOUND_OMO_BOX_GLOW_2
1A3 SOUND_OMO_BOX_GLOW_3
1A4 SOUND_OMO_BOX_GLOW_4
1A5 SOUND_OMO_BOX_CHIME_1
1A6 SOUND_OMO_BOX_CHIME_2
1A7 SOUND_OMO_BOX_CHIME_3
1A8 SOUND_OMO_BOX_CHIME_4
1A9 SOUND_OMO_BOX_DONE
1AA SOUND_OMO_TOYBOX_LID
1AB SOUND_OMO_SECRET_DOOR_OPEN
1AC SOUND_OMO_SECRET_DOOR_CLOSE
1AD SOUND_FLYING_PYROCLAST_1
1AE SOUND_FLYING_PYROCLAST_2
1AF SOUND_JAN_CHEST_IMPACT
1B1 SOUND_LRAW_NOK_WATER
1B2 SOUND_LRAW_TRD_WATER_EXT
1B3 SOUND_LRAW_SBK_OASIS_WATER
1C1 SOUND_BASIC_DOOR_OPEN
1C2 SOUND_BASIC_DOOR_CLOSE
1C3 SOUND_METAL_DOOR_OPEN
1C4 SOUND_METAL_DOOR_CLOSE
1C5 SOUND_LARGE_DOOR_OPEN
1C6 SOUND_LARGE_DOOR_CLOSE
1C7 SOUND_CREAKY_DOOR_OPEN
1C8 SOUND_CREAKY_DOOR_CLOSE
1C9 SOUND_METAL_GATE_OPEN
1CA SOUND_METAL_GATE_CLOSE
1CB SOUND_WINDOW_OPEN_A
1CC SOUND_WINDOW_CLOSE_A
1CD SOUND_WINDOW_OPEN_B
1CE SOUND_WINDOW_CLOSE_B
1CF SOUND_WOODEN_DOOR_OPEN
1D0 SOUND_WOODEN_DOOR_CLOSE
1D1 SOUND_SARCOPHAGUS_OPEN
1D2 SOUND_GOOMBA_GATE_OPEN
1D3 SOUND_OPEN_CHEST
1D4 SOUND_FOREST_GATE_OPEN
1D5 SOUND_FOREST_GATE_CLOSE
1D6 SOUND_CREAKY_ROCKING
1D8 SOUND_KKJ_WINDOW_TAP
1D9 SOUND_OMO_DOOR_FLIP
1DA SOUND_PUSH_BLOCK_FALL
1DB SOUND_FLO_LOG_OPEN
1DC SOUND_FLO_LOG_CLOSE
1DD SOUND_SAM_RAISE_BARRIER
1DE SOUND_SAM_LOWER_BARRIER
1DF SOUND_AIRSHIP_DOCK_DOOR_OPEN
1E0 SOUND_AIRSHIP_DOCK_DOOR_CLOSE
1E1 SOUND_KMR_TOWER_RUMBLE
1E2 SOUND_DISTANT_THUD
1E3 SOUND_TROMP_DROP
1E4 SOUND_TROMP_CRASH
1E5 SOUND_PUFF_PUFF_SMASH
1E6 SOUND_PUFF_PUFF_PART_BREAKS
1E7 SOUND_PUFF_PUFF_PANEL_BREAKS
1E8 SOUND_BOING
1E9 SOUND_SAM_DROP_STAIR
1EA SOUND_SAM_BARRIER_THUD
1EB SOUND_SAM_PLACE_STAR_STONE
1EC SOUND_SAM_ICE_STEP_THUD
1ED SOUND_PRA_ROTATE_ALBINO_DINO
1EE SOUND_PRA_UNFOLD_STEP
1EF SOUND_KPA_DROP_WALL
1F0 SOUND_YOSHI_KID_CRY
1F1 SOUND_OMO_TRAIN_TRACK_LEVER
1F2 SOUND_OMO_FLIP_TRAIN_TRACK
1F3 SOUND_OMO_COLORED_PANEL_DROP
1F4 SOUND_OMO_BARRICADE_DROP
1F5 SOUND_OMO_LANTERN_BREAK
1F9 SOUND_OMO_TRAIN_SWITCH_RATTLE
1FA SOUND_OMO_TRAIN_SWITCH_SELECT
1FB SOUND_TRAIN_CHUG_A
1FC SOUND_TRAIN_CHUG_B
1FD SOUND_TRAIN_RELEASE_STEAM
1FE SOUND_OMO_TOY_TRAIN_CLICK
1FF SOUND_OMO_TOY_TRAIN_WHISTLE_A
201 SOUND_MERLEE_TWIRL
202 SOUND_MERLEE_GATHER_ENERGY
203 SOUND_MERLEE_SHOW_CARD
204 SOUND_MERLEE_GATHER_CARDS
205 SOUND_MERLEE_RELEASE_PLAYER
206 SOUND_MERLEE_COMPLETE_SPELL
207 SOUND_LRAW_CRYSTAL_BALL_GLOW
208 SOUND_CRYSTAL_BALL_WAVE
209 SOUND_MERLON_GATHER
20A SOUND_MERLON_STRIKE
20B SOUND_LOWER_PITCH_MAGIC
20C SOUND_RAVEN_FALL_A
20D SOUND_RAVEN_FALL_B
20E SOUND_RAVEN_FALL_C
211 SOUND_COIN_PICKUP
212 SOUND_COIN_BOUNCE
213 SOUND_HEART_PICKUP
214 SOUND_HEART_BOUNCE
215 SOUND_STAR_POINT_PICKUP
217 SOUND_FLOWER_PICKUP
218 SOUND_FLOWER_BOUNCE
219 SOUND_STAR_PIECE_BOUNCE
21A SOUND_ITEM_BOUNCE
21B SOUND_BADGE_BOUNCE
21C SOUND_APPROVE
21D SOUND_MENU_ERROR
221 SOUND_LRAW_KPA_CHAIN_DRIVE
222 SOUND_KPA_DUMP_LAVA
223 SOUND_KPA_BOWSER_POWER_UP
224 SOUND_KPA_BOWSER_POWER_DOWN
225 SOUND_KPA_QUIZ_DOORS_OPEN
226 SOUND_KPA_QUIZ_DOORS_CLOSE
227 SOUND_KPA_RAISE_STONE_PLATFORM
228 SOUND_KPA_LOWER_STONE_PLATFORM
229 SOUND_KPA_PULL_CHAIN
22A SOUND_LRAW_KPA_FILL_WATER
22B SOUND_LRAW_KPA_DRAIN_WATER
22C SOUND_LRAW_KPA_ARENA_TURN_ON
22D SOUND_LRAW_KPA_ARENA_ACTIVE
22E SOUND_KPA_EXPLOSION_A
22F SOUND_KPA_EXPLOSION_B
230 SOUND_KPA_EXPLOSION_CLUSTER
231 SOUND_DAMAGE_STARS
232 SOUND_COLLECT_1UP
233 SOUND_TIMING_BAR_TICK
234 SOUND_TIMING_BAR_GO
235 SOUND_JUMP_COMBO_1
236 SOUND_JUMP_COMBO_2
237 SOUND_JUMP_COMBO_3
238 SOUND_JUMP_COMBO_4
239 SOUND_JUMP_COMBO_5
23A SOUND_JUMP_COMBO_6
23B SOUND_JUMP_COMBO_7
23C SOUND_JUMP_COMBO_8
23D SOUND_LRAW_BOWSER_PROPELLER
241 SOUND_BEGIN_WISH
242 SOUND_REFRESH
244 SOUND_CHILL_OUT
245 SOUND_SMOOCH
246 SOUND_TIME_OUT
247 SOUND_UP_AND_AWAY_CAST
248 SOUND_LRAW_USE_STAR_BEAM
249 SOUND_LRAW_USE_PEACH_BEAM
24A SOUND_STAR_BEAM_FIRE
24B SOUND_MERLEE_APPEAR
259 SOUND_SHOOTING_STAR_FALL_A
25A SOUND_SHOOTING_STAR_FALL_B
25C SOUND_STAR_BOUNCE_A
25D SOUND_STAR_BOUNCE_B
261 SOUND_ISK_PLACE_IN_SOCKET
262 SOUND_EMOTE_IDEA
263 SOUND_EMOTE_QUESTION
265 SOUND_ISK_DOOR_OPEN
266 SOUND_ISK_DOOR_CLOSE
267 SOUND_ISK_DOOR_SLAM
269 SOUND_USE_KEY
26A SOUND_LOCK_DROP
26B SOUND_LARGE_GATE_OPEN
26C SOUND_LARGE_GATE_CLOSE
270 SOUND_METAL_CRASH
271 SOUND_LRAW_TIK_WATER
273 SOUND_LRAW_WATER_FLOWING_1
274 SOUND_LRAW_WATER_FLOWING_2
275 SOUND_LRAW_WATER_FLOWING_3
276 SOUND_LRAW_WATER_FLOWING_4
281 SOUND_GOOMBARIO_HEADBONK
282 SOUND_TATTLE_WINDOW_OPEN
283 SOUND_KOOPER_SHELL_KICK
284 SOUND_KOOPER_SHELL_SWIRL
286 SOUND_KOOPER_PICKUP
287 SOUND_LRAW_BOMBETTE_FUSE
288 SOUND_LAKILESTER_HURRICANE_WIND
289 SOUND_WATT_CHARGE
28A SOUND_WATT_POWER_SHOCK
28B SOUND_WATT_TURBO_CHARGE
28C SOUND_WATT_MEGA_DISCHARGE
28D SOUND_WATT_WHOOSH_SHOCK
28E SOUND_ROARING_FIRE
28F SOUND_FIRE_SHELL_LAUNCH
290 SOUND_DIZZY_SHELL_LAUNCH
291 SOUND_BOW_SPOOK
292 SOUND_BOOTLER_SPOOK
293 SOUND_BOOTLER_HIDE
294 SOUND_SUSHIE_DIVE
295 SOUND_FLIGHT
297 SOUND_SUSHIE_SQUIRT
298 SOUND_SUSHIE_FOUNTAIN
299 SOUND_DESTROY_WATER_BLOCK
29A SOUND_SUSHIE_STEP
29B SOUND_TIDAL_WAVE_LEAP_A
29C SOUND_TIDAL_WAVE_LEAP_B
29D SOUND_TIDAL_WAVE_WATER
2A0 SOUND_SUSHIE_FLOP
2A1 SOUND_PLANT_FLOWERS
2A2 SOUND_FLOWER_GATE
2A3 SOUND_WOODEN_DOOR_SPINNING
2A4 SOUND_WOODEN_DOOR_WAVES
2A6 SOUND_RAVEN_LEAP_A
2A7 SOUND_RAVEN_LEAP_B
2A8 SOUND_LRAW_BOBOMB_FUSE
2AA SOUND_TWINK_FLY_B
2C1 SOUND_PARAGOOMBA_DIVE
2C4 SOUND_HURT_PLANT_BITE
2C5 SOUND_SPIKE_SUMMON_SPINY
2C6 SOUND_SPIKE_THROW_SPINY
2C7 SOUND_SPINY_SPIN_UP
2C8 SOUND_BULLET_BILL_FIRE
2C9 SOUND_BULLET_BILL_MOTION
2CA SOUND_DUPLIGHOST_STEP
2CB SOUND_DUPLIGHOST_LEAP
2CC SOUND_DUPLIGHOST_POWER_DOWN
2CD SOUND_SMOKE_BURST
2CE SOUND_POKEY_THROW
2CF SOUND_EMBER_JUMP
2D0 SOUND_EMBER_SPIT
2D1 SOUND_DRY_BONES_THROW
2D2 SOUND_DRY_BONES_COLLAPSE
2D3 SOUND_DRY_BONES_ARISE
2D4 SOUND_DRY_BONES_RATTLE
2D5 SOUND_DAYZEE_JUMP
2D6 SOUND_DAYZEE_STEP
2D7 SOUND_DAYZEE_SONG
2D8 SOUND_POWER_UP
2D9 SOUND_HYPER_CLEFT_LAND
2DA SOUND_HYPER_CLEFT_CHARGE
2DB SOUND_MAGIKOOPA_VANISH
2DC SOUND_MAGIKOOPA_WAND_STRIKE
2DD SOUND_MAGIKOOPA_POWER_UP
2DE SOUND_SUMMON_CRYSTAL_BITS
2DF SOUND_SUMMON_CRYSTAL_CLONES
2E0 SOUND_CRYSTAL_KING_ICE_BOLT
2E1 SOUND_SKY_GUY_BALLOON_POP
2E2 SOUND_GROOVE_GUY_TWIRL
2E3 SOUND_GROOVE_GUY_LEAP
2E4 SOUND_GROOVE_GUY_SPIN_DOWN
2E5 SOUND_CALL_FOR_BACKUP
2E6 SOUND_GROOVE_GUY_SUMMON
2E7 SOUND_SLINGSHOT_DRAW
2E8 SOUND_SLINGSHOT_FIRE
2E9 SOUND_HAMMER_BROS_THROW
2EA SOUND_MONSTAR_CAST_SPELL
2EB SOUND_LANTERN_GHOST_LIGHT
2EC SOUND_POKEY_STEP
2ED SOUND_POKEY_SMASH
2EE SOUND_POKEY_REACH_DOWN
2EF SOUND_ACTOR_HOP
2F0 SOUND_MAGIKOOPA_ELECTRIFY
2F1 SOUND_SNAP_AWAKE_A
2F2 SOUND_SNAP_AWAKE_B
2F3 SOUND_BUBBLE_BURST
2F4 SOUND_AI_ALERT_A
2F5 SOUND_AI_ALERT_B
2F6 SOUND_TWEESTER_LAUNCH
2F7 SOUND_SENTINEL_PICKUP
2F8 SOUND_GATHER_SMALL
2F9 SOUND_TOSS
2FA SOUND_SPEAR_GUY_DANCE_1
2FB SOUND_SPEAR_GUY_DANCE_2
2FC SOUND_SPEAR_GUY_RIP_SKIRT
2FD SOUND_ALBINO_DINO_STEP_B
2FF SOUND_CLOSE_SHELL
300 SOUND_JR_TROOPA_NEW_POWER
301 SOUND_FALL_QUICK
302 SOUND_FALL_LONG
303 SOUND_LARGE_FALL_QUICK
304 SOUND_LARGE_FALL_LONG
305 SOUND_LONG_FLUTTER_FALL_A
306 SOUND_LONG_FLUTTER_FALL_B
309 SOUND_SPEAR_STAB
30A SOUND_SPEAR_THROW
30B SOUND_ALBINO_DINO_STEP_A
30C SOUND_SHY_GUY_SCREAMS1
30D SOUND_SHY_GUY_SCREAMS2
30E SOUND_SHY_GUY_SCREAMS3
30F SOUND_TOY_TANK_MOVE1
310 SOUND_TOY_TANK_MOVE2
311 SOUND_AIM_SHELL_SHOT
312 SOUND_AIM_SPINY_FLIP
315 SOUND_TUBBA_GULP
316 SOUND_FIRE_BAR_0_B
317 SOUND_FIRE_BAR_1_B
318 SOUND_FIRE_BAR_2_B
319 SOUND_FIRE_BAR_3_B
31A SOUND_FIRE_BAR_4_B
31B SOUND_FIRE_BAR_5_B
31C SOUND_FIRE_BAR_6_B
31D SOUND_FIRE_BAR_7_B
31E SOUND_FIRE_BAR_8_B
31F SOUND_FIRE_BAR_9_B
321 SOUND_BURROW_SURFACE
322 SOUND_BURROW_DIG
323 SOUND_MOLE_POP
327 SOUND_MALLET_SWING
328 SOUND_BLASTER_FIRE
329 SOUND_CREEPY_LAUGH
32B SOUND_SKID
32C SOUND_NPC_JUMP
32D SOUND_LOWER_NPC_JUMP
32E SOUND_LRAW_SENTINEL_ALARM
32F SOUND_SNORE_INHALE_A
330 SOUND_SNORE_INHALE_B
331 SOUND_FUZZY_HOP_A
332 SOUND_FUZZY_HOP_B
333 SOUND_FUZZY_HOP_C
334 SOUND_SNORE_EXHALE_A
335 SOUND_SNORE_EXHALE_B
336 SOUND_FIRE_BAR_0_A
337 SOUND_FIRE_BAR_1_A
338 SOUND_FIRE_BAR_2_A
339 SOUND_FIRE_BAR_3_A
33A SOUND_FIRE_BAR_4_A
33B SOUND_FIRE_BAR_5_A
33C SOUND_FIRE_BAR_6_A
33D SOUND_FIRE_BAR_7_A
33E SOUND_FIRE_BAR_8_A
33F SOUND_FIRE_BAR_9_A
340 SOUND_FIRE_BAR_DEAD
341 SOUND_LRAW_CHARGE_BAR
342 SOUND_POKEY_SWAY
343 SOUND_POKEY_WALK
344 SOUND_POKEY_LEAN_FORWARD
345 SOUND_POKEY_LEAN_BACK
346 SOUND_POKEY_EMERGE_FROM_GROUND
349 SOUND_LRAW_CHEERING
34A SOUND_SHORT_CLAP
34B SOUND_MULTI_CLAP
34E SOUND_TOY_TANK_EXPLODE
350 SOUND_SLOT_REELS
351 SOUND_ACTOR_FLIGHT
353 SOUND_KOOPA_BROS_SPINUP
354 SOUND_KOOPA_BROS_TOWER_SPIN_1
355 SOUND_KOOPA_BROS_TOWER_SPIN_2
356 SOUND_KOOPA_BROS_TOWER_SPIN_3
357 SOUND_BZZAP_BUZZ
358 SOUND_MINI_BZZAP_BUZZ
359 SOUND_EMBER_FLY
35B SOUND_HUFF_N_PUFF_FIRE_LIGHTNING
35C SOUND_CHARGE_LIGHTNING
35D SOUND_HEAVY_WIND_LOOP
35E SOUND_HEAVY_NPC_SWIPE
35F SOUND_BABY_BLOOPER_MOVE
361 SOUND_PUT_ON_CAP
362 SOUND_BECOME_STONE
363 SOUND_WINTERY_JINGLE
364 SOUND_SHEEP_STAMPEDE
