# Authoritative names for extracted Paper Mario SoundBank WAV files.
# Column 1 is the raw dump stem; column 2 is the stable asset stem.
# Loop companions consistently use the PascalCase _Loop suffix.

PS01_00	PS01_00_Standard1Kick1
GM01_07	GM01_07_VibraphoneC6
GM01_07_Loop	GM01_07_VibraphoneC6_Loop
GM01_08	GM01_08_VibraphoneC7
GM01_08_Loop	GM01_08_VibraphoneC7_Loop
GM01_09	GM01_09_MusicBoxC6
GM01_09_Loop	GM01_09_MusicBoxC6_Loop
GM01_0A	GM01_0A_MusicBoxC7
GM01_0A_Loop	GM01_0A_MusicBoxC7_Loop
GM01_0B	GM01_0B_AquaC4
GM01_0C	GM01_0C_AquaC5
GM01_0D	GM01_0D_AquaC6
GM01_0E	GM01_0E_Unk
GM01_0E_Loop	GM01_0E_Unk_Loop
GM01_0F	GM01_0F_LogDrumC6

GM02_00	GM02_00_ViolinC4
GM02_00_Loop	GM02_00_ViolinC4_Loop
GM02_01	GM02_01_ViolinC5
GM02_01_Loop	GM02_01_ViolinC5_Loop
GM02_02	GM02_02_ViolinC6
GM02_02_Loop	GM02_02_ViolinC6_Loop
GM02_03	GM02_03_ViolinC7
GM02_03_Loop	GM02_03_ViolinC7_Loop
GM02_04	GM02_04_PizzicatoStringsC4
GM02_05	GM02_05_PizzicatoStringsC5
GM02_06	GM02_06_PizzicatoStringsC6
GM02_07	GM02_07_PizzicatoStringsC7
GM02_08	GM02_08_Strings2C5
GM02_08_Loop	GM02_08_Strings2C5_Loop
GM02_09	GM02_09_Strings2C6
GM02_09_Loop	GM02_09_Strings2C6_Loop
GM02_0A	GM02_0A_Strings2C7
GM02_0A_Loop	GM02_0A_Strings2C7_Loop
GM02_0B	GM02_0B_Strings2C8
GM02_0B_Loop	GM02_0B_Strings2C8_Loop
GM02_0C	GM02_0C_TimpaniF3
GM02_0D	GM02_0D_TimpaniF4
GM02_0E	GM02_0E_TimpaniF3Soft
GM02_0F	GM02_0F_TimpaniF4Soft

GM03_00	GM03_00_ElectricPiano1C5
GM03_00_Loop	GM03_00_ElectricPiano1C5_Loop
GM03_01	GM03_01_ElectricPiano1C6
GM03_01_Loop	GM03_01_ElectricPiano1C6_Loop
GM03_02	GM03_02_ElectricPiano1C7
GM03_02_Loop	GM03_02_ElectricPiano1C7_Loop
GM03_03	GM03_03_HonkyTonkC5
GM03_04	GM03_04_HonkyTonkC6
GM03_05	GM03_05_CrystalC7
GM03_05_Loop	GM03_05_CrystalC7_Loop
GM03_06	GM03_06_CrystalC9
GM03_06_Loop	GM03_06_CrystalC9_Loop
GM03_07	GM03_07_NylonStringGuitarC5
GM03_07_Loop	GM03_07_NylonStringGuitarC5_Loop
GM03_08	GM03_08_NylonStringGuitarC6
GM03_08_Loop	GM03_08_NylonStringGuitarC6_Loop
GM03_09	GM03_09_SteelStringGuitarC4
GM03_09_Loop	GM03_09_SteelStringGuitarC4_Loop
GM03_0A	GM03_0A_SteelStringGuitarB4
GM03_0A_Loop	GM03_0A_SteelStringGuitarB4_Loop
GM03_0B	GM03_0B_SteelStringGuitarG5
GM03_0B_Loop	GM03_0B_SteelStringGuitarG5_Loop
GM03_0C	GM03_0C_SteelStringGuitarG6
GM03_0C_Loop	GM03_0C_SteelStringGuitarG6_Loop
GM03_0D	GM03_0D_EnglishHornC5
GM03_0D_Loop	GM03_0D_EnglishHornC5_Loop
GM03_0E	GM03_0E_EnglishHornC6
GM03_0E_Loop	GM03_0E_EnglishHornC6_Loop
GM03_0F	GM03_0F_Unk
GM03_0F_Loop	GM03_0F_Unk_Loop

GM04_00	GM04_00_TrumpetC7
GM04_00_Loop	GM04_00_TrumpetC7_Loop
GM04_01	GM04_01_TromboneC4
GM04_01_Loop	GM04_01_TromboneC4_Loop
GM04_02	GM04_02_TromboneC5
GM04_02_Loop	GM04_02_TromboneC5_Loop
GM04_03	GM04_03_TromboneC6
GM04_03_Loop	GM04_03_TromboneC6_Loop
GM04_04	GM04_04_TubaC6
GM04_04_Loop	GM04_04_TubaC6_Loop
GM04_05	GM04_05_BassoonC3
GM04_05_Loop	GM04_05_BassoonC3_Loop
GM04_06	GM04_06_BassoonC4
GM04_06_Loop	GM04_06_BassoonC4_Loop
GM04_07	GM04_07_BassoonC5
GM04_07_Loop	GM04_07_BassoonC5_Loop
GM04_08	GM04_08_ClarinetC6
GM04_08_Loop	GM04_08_ClarinetC6_Loop
GM04_09	GM04_09_ClarinetC7
GM04_09_Loop	GM04_09_ClarinetC7_Loop
GM04_0A	GM04_0A_OboeC5
GM04_0A_Loop	GM04_0A_OboeC5_Loop
GM04_0B	GM04_0B_OboeC6
GM04_0B_Loop	GM04_0B_OboeC6_Loop
GM04_0C	GM04_0C_Unk
GM04_0C_Loop	GM04_0C_Unk_Loop
GM04_0D	GM04_0D_PiccoloC8
GM04_0D_Loop	GM04_0D_PiccoloC8_Loop
GM04_0E	GM04_0E_DoctorSoloC4
GM04_0E_Loop	GM04_0E_DoctorSoloC4_Loop
GM04_0F	GM04_0F_DoctorSoloC6
GM04_0F_Loop	GM04_0F_DoctorSoloC6_Loop

GM05_00	GM05_00_AcousticBassC3
GM05_00_Loop	GM05_00_AcousticBassC3_Loop
GM05_01	GM05_01_AcousticBassC4
GM05_01_Loop	GM05_01_AcousticBassC4_Loop
GM05_02	GM05_02_Brass1C6
GM05_02_Loop	GM05_02_Brass1C6_Loop
GM05_03	GM05_03_Brass1C7
GM05_03_Loop	GM05_03_Brass1C7_Loop
GM05_04	GM05_04_DistortionGuitarC6
GM05_04_Loop	GM05_04_DistortionGuitarC6_Loop
GM05_05	GM05_05_DistortionGuitarC7
GM05_05_Loop	GM05_05_DistortionGuitarC7_Loop
GM05_06	GM05_06_KalimbaC7
GM05_07	GM05_07_FluteC6
GM05_07_Loop	GM05_07_FluteC6_Loop
GM05_08	GM05_08_FluteC7
GM05_08_Loop	GM05_08_FluteC7_Loop
GM05_09	GM05_09_FluteC8
GM05_09_Loop	GM05_09_FluteC8_Loop
GM05_0A	GM05_0A_SteelDrumsC5
GM05_0B	GM05_0B_SteelDrumsC6
GM05_0C	GM05_0C_SteelDrumsC7
GM05_0D	GM05_0D_Organ1C6
GM05_0D_Loop	GM05_0D_Organ1C6_Loop
GM05_0E	GM05_0E_Organ1C7
GM05_0E_Loop	GM05_0E_Organ1C7_Loop
GM05_0F	GM05_0F_Organ1C8
GM05_0F_Loop	GM05_0F_Organ1C8_Loop

GM06_00	GM06_00_MutedTrumpetC6
GM06_00_Loop	GM06_00_MutedTrumpetC6_Loop
GM06_01	GM06_01_MutedTrumpetC7
GM06_01_Loop	GM06_01_MutedTrumpetC7_Loop
GM06_02	GM06_02_OverdriveGuitarC6
GM06_02_Loop	GM06_02_OverdriveGuitarC6_Loop
GM06_03	GM06_03_OverdriveGuitarC7
GM06_03_Loop	GM06_03_OverdriveGuitarC7_Loop
GM06_04	GM06_04_Organ4C7
GM06_04_Loop	GM06_04_Organ4C7_Loop
GM06_05	GM06_05_BanjoC5
GM06_05_Loop	GM06_05_BanjoC5_Loop
GM06_06	GM06_06_ShanaiC4
GM06_06_Loop	GM06_06_ShanaiC4_Loop
GM06_07	GM06_07_ShanaiC5
GM06_07_Loop	GM06_07_ShanaiC5_Loop
GM06_08	GM06_08_ShanaiC6
GM06_08_Loop	GM06_08_ShanaiC6_Loop
GM06_09	GM06_09_SpaceVoiceC5
GM06_09_Loop	GM06_09_SpaceVoiceC5_Loop
GM06_0A	GM06_0A_SpaceVoiceC6
GM06_0A_Loop	GM06_0A_SpaceVoiceC6_Loop
GM06_0B	GM06_0B_SpaceVoiceC7
GM06_0B_Loop	GM06_0B_SpaceVoiceC7_Loop
GM06_0C	GM06_0C_FingeredBassC3
GM06_0C_Loop	GM06_0C_FingeredBassC3_Loop
GM06_0D	GM06_0D_FingeredBassC4
GM06_0D_Loop	GM06_0D_FingeredBassC4_Loop
GM06_0E	GM06_0E_OcarinaC6
GM06_0E_Loop	GM06_0E_OcarinaC6_Loop
GM06_0F	GM06_0F_OcarinaC8
GM06_0F_Loop	GM06_0F_OcarinaC8_Loop

GM07_00	GM07_00_Piano3C5
GM07_01	GM07_01_Piano3C6
GM07_02	GM07_02_Piano3C7
GM07_03	GM07_03_RotaryOrganFastC6
GM07_03_Loop	GM07_03_RotaryOrganFastC6_Loop
GM07_04	GM07_04_RotaryOrganFastC7
GM07_04_Loop	GM07_04_RotaryOrganFastC7_Loop
GM07_05	GM07_05_SynthBass101C4
GM07_05_Loop	GM07_05_SynthBass101C4_Loop
GM07_06	GM07_06_SitarC4
GM07_06_Loop	GM07_06_SitarC4_Loop
GM07_07	GM07_07_SitarC5
GM07_07_Loop	GM07_07_SitarC5_Loop
GM07_08	GM07_08_SynthBass1C3
GM07_08_Loop	GM07_08_SynthBass1C3_Loop
GM07_09	GM07_09_SynthBass1C4
GM07_09_Loop	GM07_09_SynthBass1C4_Loop
GM07_0A	GM07_0A_SynthBrass1C5
GM07_0A_Loop	GM07_0A_SynthBrass1C5_Loop
GM07_0B	GM07_0B_SynthBrass1C6
GM07_0B_Loop	GM07_0B_SynthBrass1C6_Loop
GM07_0C	GM07_0C_WhistleC7
GM07_0C_Loop	GM07_0C_WhistleC7_Loop
GM07_0D	GM07_0D_WhistleC8
GM07_0D_Loop	GM07_0D_WhistleC8_Loop
GM07_0E	GM07_0E_PanFluteC7
GM07_0E_Loop	GM07_0E_PanFluteC7_Loop
GM07_0F	GM07_0F_PanFluteC8
GM07_0F_Loop	GM07_0F_PanFluteC8_Loop

GM08_00	GM08_00_SeventhAtmosphereC7
GM08_00_Loop	GM08_00_SeventhAtmosphereC7_Loop
GM08_01	GM08_01_SlapBass2C4
GM08_01_Loop	GM08_01_SlapBass2C4_Loop
GM08_02	GM08_02_TubularBellC7
GM08_02_Loop	GM08_02_TubularBellC7_Loop
GM08_03	GM08_03_SawWaveC6
GM08_03_Loop	GM08_03_SawWaveC6_Loop
GM08_04	GM08_04_SawWaveC7
GM08_04_Loop	GM08_04_SawWaveC7_Loop
GM08_05	GM08_05_StereoFMElectricPianoC6
GM08_05_Loop	GM08_05_StereoFMElectricPianoC6_Loop
GM08_06	GM08_06_StereoFMElectricPianoC7
GM08_06_Loop	GM08_06_StereoFMElectricPianoC7_Loop
GM08_07	GM08_07_StereoSoftElectricPianoC6
GM08_07_Loop	GM08_07_StereoSoftElectricPianoC6_Loop
GM08_08	GM08_08_StereoSoftElectricPianoC7
GM08_08_Loop	GM08_08_StereoSoftElectricPianoC7_Loop
GM08_09	GM08_09_VibraBellsC6
GM08_09_Loop	GM08_09_VibraBellsC6_Loop
GM08_0A	GM08_0A_VibraBellsC8
GM08_0A_Loop	GM08_0A_VibraBellsC8_Loop
GM08_0B	GM08_0B_CelestaC6
GM08_0B_Loop	GM08_0B_CelestaC6_Loop
GM08_0C	GM08_0C_Unk
GM08_0C_Loop	GM08_0C_Unk_Loop
GM08_0D	GM08_0D_BowedGlassC7
GM08_0D_Loop	GM08_0D_BowedGlassC7_Loop
GM08_0E	GM08_0E_VoxLeadC6
GM08_0E_Loop	GM08_0E_VoxLeadC6_Loop
GM08_0F	GM08_0F_VoxLeadC5
GM08_0F_Loop	GM08_0F_VoxLeadC5_Loop

GM09_00	GM09_00_GlockenspielC7
GM09_01	GM09_01_GlockenspielC8
GM09_02	GM09_02_SanturC6
GM09_03	GM09_03_SanturC7
GM09_04	GM09_04_SineWaveC6
GM09_04_Loop	GM09_04_SineWaveC6_Loop
GM09_05	GM09_05_SineWaveC8
GM09_05_Loop	GM09_05_SineWaveC8_Loop
GM09_06	GM09_06_SitarC6
GM09_06_Loop	GM09_06_SitarC6_Loop
GM09_07	GM09_07_KalimbaC5
GM09_08	GM09_08_OrchestraHitC6
GM09_09	GM09_09_BandoneonC5
GM09_09_Loop	GM09_09_BandoneonC5_Loop
GM09_0A	GM09_0A_BandoneonC6
GM09_0A_Loop	GM09_0A_BandoneonC6_Loop
GM09_0B	GM09_0B_BandoneonC7
GM09_0B_Loop	GM09_0B_BandoneonC7_Loop
GM09_0C	GM09_0C_GamelanC5
GM09_0C_Loop	GM09_0C_GamelanC5_Loop
GM09_0D	GM09_0D_DistortionLeadC4
GM09_0D_Loop	GM09_0D_DistortionLeadC4_Loop
GM09_0E	GM09_0E_Unk
GM09_0E_Loop	GM09_0E_Unk_Loop
GM09_0F	GM09_0F_SlotMachine
GM09_0F_Loop	GM09_0F_SlotMachine_Loop

GM10_00	GM10_00_HarpC6
GM10_00_Loop	GM10_00_HarpC6_Loop
GM10_01	GM10_01_HarpC7
GM10_01_Loop	GM10_01_HarpC7_Loop
GM10_02	GM10_02_HarpsichordC5
GM10_02_Loop	GM10_02_HarpsichordC5_Loop
GM10_03	GM10_03_HarpsichordC6
GM10_03_Loop	GM10_03_HarpsichordC6_Loop
GM10_04	GM10_04_BaritoneSaxC5
GM10_04_Loop	GM10_04_BaritoneSaxC5_Loop
GM10_05	GM10_05_BaritoneSaxC6
GM10_05_Loop	GM10_05_BaritoneSaxC6_Loop
GM10_06	GM10_06_SynthBass201C3
GM10_06_Loop	GM10_06_SynthBass201C3_Loop
GM10_07	GM10_07_SynthBass201C4
GM10_07_Loop	GM10_07_SynthBass201C4_Loop
GM10_08	GM10_08_CheeseSaw1C5
GM10_08_Loop	GM10_08_CheeseSaw1C5_Loop
GM10_09	GM10_09_CheeseSaw1C6
GM10_09_Loop	GM10_09_CheeseSaw1C6_Loop
GM10_0A	GM10_0A_TR909Kick1
GM10_0B	GM10_0B_TR909Snare2
GM10_0C	GM10_0C_Unk
GM10_0D	GM10_0D_Standard1Snare1
GM10_0E	GM10_0E_JazzKick1
GM10_0F	GM10_0F_Unk

GM11_00	GM11_00_ClearBellsC7
GM11_00_Loop	GM11_00_ClearBellsC7_Loop
GM11_01	GM11_01_ClearBellsC8
GM11_01_Loop	GM11_01_ClearBellsC8_Loop
GM11_02	GM11_02_MutedDistortionGuitarC5
GM11_02_Loop	GM11_02_MutedDistortionGuitarC5_Loop
GM11_03	GM11_03_ChurchOrgan2C6
GM11_03_Loop	GM11_03_ChurchOrgan2C6_Loop
GM11_04	GM11_04_ReverseCymbalC5
GM11_05	GM11_05_Unk
GM11_05_Loop	GM11_05_Unk_Loop

SPC0_00	SPC0_00_FightSwing
SPC0_01	SPC0_01_FightHit
SPC0_02	SPC0_02_FightYell

SPC1_00	SPC1_00_SmallVoiceA
SPC1_01	SPC1_01_SmallVoiceB
SPC1_02	SPC1_02_SmallVoiceC
SPC1_03	SPC1_03_SmallVoiceD

SPC2_00	SPC2_00_Harp

SPC3_00	SPC3_00_Unk
SPC3_00_Loop	SPC3_00_Unk_Loop
SPC3_01	SPC3_01_Unk
SPC3_01_Loop	SPC3_01_Unk_Loop
SPC3_02	SPC3_02_Unk
SPC3_02_Loop	SPC3_02_Unk_Loop
SPC3_03	SPC3_03_Unk
SPC3_03_Loop	SPC3_03_Unk_Loop
SPC3_04	SPC3_04_Unk
SPC3_04_Loop	SPC3_04_Unk_Loop
SPC3_05	SPC3_05_Unk
SPC3_06	SPC3_06_Unk
SPC3_06_Loop	SPC3_06_Unk_Loop
SPC3_07	SPC3_07_Unk
SPC3_07_Loop	SPC3_07_Unk_Loop
SPC3_08	SPC3_08_Unk
SPC3_08_Loop	SPC3_08_Unk_Loop
SPC3_09	SPC3_09_Unk
SPC3_09_Loop	SPC3_09_Unk_Loop
SPC3_0A	SPC3_0A_Unk

REC1_00	REC1_00_NoiseGrain
REC1_00_Loop	REC1_00_NoiseGrain_Loop
REC1_01	REC1_01_Unk
REC1_02	REC1_02_Unk
REC1_03	REC1_03_Unk
REC1_04	REC1_04_Unk
REC1_05	REC1_05_Unk
REC1_06	REC1_06_Unk
REC1_06_Loop	REC1_06_Unk_Loop
REC1_07	REC1_07_Unk
REC1_07_Loop	REC1_07_Unk_Loop
REC1_08	REC1_08_Unk
REC1_08_Loop	REC1_08_Unk_Loop
REC1_09	REC1_09_Unk

STG5_00	STG5_00_ChantLowPitch
STG5_01	STG5_01_ChantHighPitch
STG5_02	STG5_02_ChantHeyRah
STG5_03	STG5_03_ChantExhale
STG5_04	STG5_04_ChantOoo
STG5_05	STG5_05_DrumHit
STG5_06	STG5_06_JungleRhythm

STG8_00	STG8_00_Unk

CHO1_00	CHO1_00_Boing

SYS0_00	SYS0_00_CoinPickup
SYS0_00_Loop	SYS0_00_CoinPickup_Loop
SYS0_01	SYS0_01_HeartBounce
SYS0_02	SYS0_02_StarPieceBounce
SYS0_03	SYS0_03_ItemBounce
SYS0_04	SYS0_04_PulseStone
SYS0_05	SYS0_05_EmoteIdea
SYS0_06	SYS0_06_EmoteQuestion
SYS0_07	SYS0_07_MenuOpen
SYS0_08	SYS0_08_MenuClose
SYS0_09	SYS0_09_MsgRewind
SYS0_0A	SYS0_0A_MsgUnrewind
SYS0_0B	SYS0_0B_MenuNext
SYS0_0C	SYS0_0C_MenuChime

SYS1_00	SYS1_00_MenuBack
SYS1_01	SYS1_01_MenuChangeSelection
SYS1_02	SYS1_02_MenuChangeTab
SYS1_03	SYS1_03_MessageWait
SYS1_04	SYS1_04_Beep
SYS1_04_Loop	SYS1_04_Beep_Loop
SYS1_05	SYS1_05_OpenPopup
SYS1_06	SYS1_06_HitBones
SYS1_07	SYS1_07_StarPointPickup
SYS1_08	SYS1_08_FlowerPickup
SYS1_09	SYS1_09_RaiseStatusBar
SYS1_0A	SYS1_0A_LowerStatusBar
SYS1_0B	SYS1_0B_BubbleDrift
SYS1_0B_Loop	SYS1_0B_BubbleDrift_Loop
SYS1_0C	SYS1_0C_MessageSkip
SYS1_0D	SYS1_0D_Approve
SYS1_0E	SYS1_0E_MenuError
SYS1_0E_Loop	SYS1_0E_MenuError_Loop
SYS1_0F	SYS1_0F_BubblesRising

SYS2_00	SYS2_00_Voice
SYS2_01	SYS2_01_DeepVoice
SYS2_02	SYS2_02_StarVoice
SYS2_03	SYS2_03_MenuShowChoice
SYS2_03_Loop	SYS2_03_MenuShowChoice_Loop
SYS2_04	SYS2_04_CreateFileMoveCursor
SYS2_05	SYS2_05_BadgeEquip
SYS2_06	SYS2_06_BadgeUnequip
SYS2_07	SYS2_07_MoveCursor
SYS2_08	SYS2_08_SpawnBlock
SYS2_09	SYS2_09_IntroNextPage
SYS2_0A	SYS2_0A_IntroNextPage
SYS2_0B	SYS2_0B_CreepyVoice

MAR0_00	MAR0_00_QuickPlayerJump
MAR0_01	MAR0_01_LongPlayerJump
MAR0_02	MAR0_02_SpinJump
MAR0_03	MAR0_03_TornadoJump
MAR0_04	MAR0_04_Step
MAR0_05	MAR0_05_LandSoftly
MAR0_06	MAR0_06_HitBlock
MAR0_07	MAR0_07_PlayerCollapse
MAR0_08	MAR0_08_EnterPipe
MAR0_09	MAR0_09_LandTorandoJump
MAR0_0A	MAR0_0A_HammerSwing1
MAR0_0B	MAR0_0B_HammerSwing2
MAR0_0C	MAR0_0C_HammerSwing3
MAR0_0D	MAR0_0D_HammerStrike1
MAR0_0E	MAR0_0E_HammerStrike2
MAR0_0F	MAR0_0F_HammerStrike3

MAR1_00	MAR1_00_SearchBush
MAR1_01	MAR1_01_CheckLaughingFlowers
MAR1_02	MAR1_02_Dig
MAR1_03	MAR1_03_SmallBoing
MAR1_04	MAR1_04_SmackTree
MAR1_05	MAR1_05_ShakeTreeLeaves
MAR1_06	MAR1_06_Slide
MAR1_06_Loop	MAR1_06_Slide_Loop
MAR1_07	MAR1_07_PlayerCharge
MAR1_08	MAR1_08_ActorJumpA
MAR1_09	MAR1_09_ActorJumpB
MAR1_0A	MAR1_0A_ActorJumpC
MAR1_0B	MAR1_0B_DamageStars
MAR1_0C	MAR1_0C_PlayerRunAway
MAR1_0D	MAR1_0D_DullCrash
MAR1_0E	MAR1_0E_InflictChillOut

ENV0_00	ENV0_00_LoudWaterFlowing
ENV0_00_Loop	ENV0_00_LoudWaterFlowing_Loop
ENV0_01	ENV0_01_BeachWaves
ENV0_01_Loop	ENV0_01_BeachWaves_Loop
ENV0_02	ENV0_02_Waterfall
ENV0_02_Loop	ENV0_02_Waterfall_Loop
ENV0_03	ENV0_03_StarFall
ENV0_04	ENV0_04_WaterFlowing1
ENV0_04_Loop	ENV0_04_WaterFlowing1_Loop
ENV0_05	ENV0_05_TRD_WaterSplash
ENV0_06	ENV0_06_GentleWaterFlowing
ENV0_06_Loop	ENV0_06_GentleWaterFlowing_Loop
ENV0_07	ENV0_05_WaterFlowing2
ENV0_07_Loop	ENV0_05_WaterFlowing2_Loop
ENV0_08	ENV0_08_GentleWater
ENV0_08_Loop	ENV0_08_GentleWater_Loop
ENV0_09	ENV0_09_BirdA
ENV0_0A	ENV0_0A_BirdB
ENV0_0B	ENV0_0B_BirdC
ENV0_0C	ENV0_0C_BirdD

PAR0_00	PAR0_00_GoombarioHeadbonk
PAR0_01	PAR0_01_TattleWindowOpen
PAR0_02	PAR0_02_KooperShellKick
PAR0_03	PAR0_03_KooperShellSwirl
PAR0_04	PAR0_04_ShellSpin
PAR0_05	PAR0_05_KooperPickup
PAR0_06	PAR0_06_ShellZoom
PAR0_07	PAR0_07_ShellLaunch
PAR0_08	PAR0_08_ParakarryFlap
PAR0_09	PAR0_09_ParakarryShellShot
PAR0_0A	PAR0_0A_BombetteIgnite
PAR0_0B	PAR0_0B_BombetteFuse
PAR0_0B_Loop	PAR0_0B_BombetteFuse_Loop
PAR0_0C	PAR0_0C_BombetteBlastLv1
PAR0_0D	PAR0_0D_BombetteBlastLv2
PAR0_0E	PAR0_0E_BombetteBlastLv3
PAR0_0F	PAR0_0F_StoneCrumble

PAR1_00	PAR1_00_RepelDarkness
PAR1_01	PAR1_01_AllowDarkness
PAR1_02	PAR1_02_SmallWaterSplash
PAR1_03	PAR1_03_MoveThroughWater
PAR1_04	PAR1_04_DiveUnderWater
PAR1_05	PAR1_05_SushieJump
PAR1_06	PAR1_06_SquirtWater
PAR1_07	PAR1_07_CreateWaterBlock
PAR1_08	PAR1_08_UnderwaterDrone
PAR1_08_Loop	PAR1_08_UnderwaterDrone_Loop
PAR1_09	PAR1_09_Flight
PAR1_0A	PAR1_0A_BooSpook
PAR1_0B	PAR1_0B_OuttaSightVanish
PAR1_0C	PAR1_0C_OuttaSightAppear
PAR1_0D	PAR1_0D_PartnerPutAway
PAR1_0E	PAR1_0E_PartnerGetOut
PAR1_0F	PAR1_0F_PartnerSwapBattlePos

PAR2_00	PAR2_00_BooVanish
PAR2_01	PAR2_01_BooAppear
PAR2_02	PAR2_02_QuickSwing
PAR2_03	PAR2_03_HollowHit

ETC0_00	ETC0_00_PaperGlide
ETC0_00_Loop	ETC0_00_PaperGlide_Loop
ETC0_01	ETC0_01_ActivateSwitch
ETC0_02	ETC0_02_LargeDoorOpen
ETC0_03	ETC0_03_LargeGateOpen
ETC0_04	ETC0_04_LargeDoorClose
ETC0_05	ETC0_05_LargeGateClose
ETC0_06	ETC0_06_GateUnlock
ETC0_07	ETC0_07_GateOpen
ETC0_08	ETC0_08_SarcophagusOpen
ETC0_09	ETC0_09_OpenChest
ETC0_0A	ETC0_0A_CreakyRocking
